element,proj_index,l,q_bohr_inv,q_per_ang,F_bohr_3halves,F_ang_3halves
Cu,1,0,3.000000000000e+00,5.669178373877e+00,2.354998808758e+00,9.065513129520e-01
Cu,1,0,4.000000000000e+00,7.558904498503e+00,2.729518260237e-01,1.050721704547e-01
Cu,1,0,5.000000000000e+00,9.448630623129e+00,-5.425052855449e-01,-2.088361476300e-01
Cu,1,0,6.000000000000e+00,1.133835674775e+01,-4.014765396045e-01,-1.545474599581e-01
Cu,1,0,7.000000000000e+00,1.322808287238e+01,2.633463393552e-02,1.013745607071e-02
Cu,2,1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Cu,2,1,1.000000000000e-01,1.889726124626e-01,6.998231152690e-02,2.693952802108e-02
Cu,2,1,5.000000000000e-01,9.448630623129e-01,3.491504310885e-01,1.344046462121e-01
Cu,2,1,1.000000000000e+00,1.889726124626e+00,6.929639427984e-01,2.667548577248e-01
Cu,2,1,2.000000000000e+00,3.779452249252e+00,1.328101465323e+00,5.112495694881e-01
Cu,2,1,3.000000000000e+00,5.669178373877e+00,1.791209683642e+00,6.895220007924e-01
Cu,2,1,4.000000000000e+00,7.558904498503e+00,1.942507030623e+00,7.477635625468e-01
Cu,2,1,5.000000000000e+00,9.448630623129e+00,1.720927387473e+00,6.624669943810e-01
Cu,2,1,6.000000000000e+00,1.133835674775e+01,1.219092175732e+00,4.692866970504e-01
Cu,2,1,7.000000000000e+00,1.322808287238e+01,6.466509127451e-01,2.489267645447e-01
Cu,3,1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Cu,3,1,1.000000000000e-01,1.889726124626e-01,1.721258378122e-01,6.625944084614e-02
Cu,3,1,5.000000000000e-01,9.448630623129e-01,8.451547859400e-01,3.253403687477e-01
Cu,3,1,1.000000000000e+00,1.889726124626e+00,1.595829036491e+00,6.143106751893e-01
Cu,3,1,2.000000000000e+00,3.779452249252e+00,2.501564220101e+00,9.629713270905e-01
Cu,3,1,3.000000000000e+00,5.669178373877e+00,2.352534989176e+00,9.056028713356e-01
Cu,3,1,4.000000000000e+00,7.558904498503e+00,1.303429514445e+00,5.017521593923e-01
Cu,3,1,5.000000000000e+00,9.448630623129e+00,-4.211855534184e-02,-1.621343989763e-02
Cu,3,1,6.000000000000e+00,1.133835674775e+01,-9.849572354822e-01,-3.791569964738e-01
Cu,3,1,7.000000000000e+00,1.322808287238e+01,-1.161045100461e+00,-4.469416104609e-01
Cu,4,2,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
Cu,4,2,1.000000000000e-01,1.889726124626e-01,-8.946599335745e-04,-3.443972601648e-04
Cu,4,2,5.000000000000e-01,9.448630623129e-01,-2.140787977538e-02,-8.240913517968e-03
Cu,4,2,1.000000000000e+00,1.889726124626e+00,-7.408363373246e-02,-2.851832246312e-02
