system,i1,i2,i3,rho_e_per_ang3
fe_bcc,13,4,6,3.1525205852e-01
fe_bcc,13,7,3,2.9292576634e-01
fe_bcc,13,10,0,2.3033170237e-01
fe_bcc,13,12,21,2.6167293668e-01
fe_bcc,13,15,18,4.3036082130e-01
fe_bcc,13,18,15,4.3036082130e-01
fe_bcc,13,21,12,2.6167293668e-01
fe_bcc,14,0,9,2.2875544836e-01
fe_bcc,14,3,6,2.7461150260e-01
fe_bcc,14,6,3,2.7461150260e-01
fe_bcc,14,9,0,2.2875544836e-01
fe_bcc,14,11,21,2.5521483835e-01
fe_bcc,14,14,18,4.5075046096e-01
fe_bcc,14,17,15,5.2942734943e-01
fe_bcc,14,20,12,2.9869702180e-01
fe_bcc,14,23,9,2.2684033929e-01
fe_bcc,15,2,6,2.6560651980e-01
fe_bcc,15,5,3,2.7951749632e-01
fe_bcc,15,8,0,2.3460619447e-01
fe_bcc,15,10,21,2.4676338724e-01
fe_bcc,15,13,18,4.3036082130e-01
fe_bcc,15,16,15,6.0009517216e-01
fe_bcc,15,19,12,3.4294563575e-01
fe_bcc,15,22,9,2.3195342273e-01
fe_bcc,16,1,6,2.8395281356e-01
fe_bcc,16,4,3,3.2510014363e-01
fe_bcc,16,7,0,2.5926120634e-01
fe_bcc,16,9,21,2.4378982538e-01
fe_bcc,16,12,18,3.8114352563e-01
fe_bcc,16,15,15,6.0009517216e-01
fe_bcc,16,18,12,3.8114352563e-01
fe_bcc,16,21,9,2.4378982538e-01
fe_bcc,17,0,6,3.2869854820e-01
fe_bcc,17,3,3,4.5703853746e-01
fe_bcc,17,6,0,3.2869854820e-01
fe_bcc,17,8,21,2.5643393143e-01
fe_bcc,17,11,18,3.2690626737e-01
fe_bcc,17,14,15,5.2942734943e-01
fe_bcc,17,17,12,3.9659007839e-01
fe_bcc,17,20,9,2.5644383104e-01
fe_bcc,17,23,6,3.2691795915e-01
fe_bcc,18,2,3,8.1189086989e-01
fe_bcc,18,5,0,5.2825600225e-01
fe_bcc,18,7,21,3.0259645405e-01
fe_bcc,18,10,18,2.8541890109e-01
fe_bcc,18,13,15,4.3036082130e-01
fe_bcc,18,16,12,3.8114352563e-01
fe_bcc,18,19,9,2.6448344680e-01
fe_bcc,18,22,6,3.8117680386e-01
fe_bcc,19,1,3,1.7768347414e+00
fe_bcc,19,4,0,1.2071099184e+00
fe_bcc,19,6,21,4.3032049902e-01
fe_bcc,19,9,18,2.6448344680e-01
fe_bcc,19,12,15,3.4294563575e-01
fe_bcc,19,15,12,3.4294563575e-01
fe_bcc,19,18,9,2.6448344680e-01
fe_bcc,19,21,6,4.3032049902e-01
fe_bcc,20,0,3,4.1411094529e+00
fe_bcc,20,3,0,4.1411094529e+00
fe_bcc,20,5,21,8.0128827514e-01
fe_bcc,20,8,18,2.6816756376e-01
fe_bcc,20,11,15,2.8211774160e-01
fe_bcc,20,14,12,2.9869702180e-01
fe_bcc,20,17,9,2.5644383104e-01
fe_bcc,20,20,6,4.5067123281e-01
fe_bcc,20,23,3,4.0423673010e+00
fe_bcc,21,2,0,1.3749846991e+01
fe_bcc,21,4,21,2.0217151931e+00
fe_bcc,21,7,18,3.0259645405e-01
fe_bcc,21,10,15,2.4676338724e-01
fe_bcc,21,13,12,2.6167293668e-01
fe_bcc,21,16,9,2.4378982538e-01
fe_bcc,21,19,6,4.3032049902e-01
